route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
DUA8008530210013,DUA853,"H","Ermont Eaubonne - Persan Beaumont","",2,,7B4339,FFFFFF
DUA8008530212001,DUA853,"H","Ermont Eaubonne - Pontoise","",2,,7B4339,FFFFFF
DUA8008530212013,DUA853,"H","Ermont Eaubonne - Valmondois","",2,,7B4339,FFFFFF
DUA8008530212037,DUA853,"H","Gare du Nord Surface - Ermont Eaubonne","",2,,7B4339,FFFFFF
DUA8008530210011,DUA853,"H","Gare du Nord Surface - Luzarches","",2,,7B4339,FFFFFF
DUA8008530210007,DUA853,"H","Gare du Nord Surface - Montsoult Maffliers","",2,,7B4339,FFFFFF
DUA8008530210003,DUA853,"H","Gare du Nord Surface - Persan Beaumont (Montsoult Maffliers)","",2,,7B4339,FFFFFF
DUA8008530210015,DUA853,"H","Gare du Nord Surface - Persan Beaumont (Valmondois)","",2,,7B4339,FFFFFF
DUA8008530212005,DUA853,"H","Gare du Nord Surface - Pontoise","",2,,7B4339,FFFFFF
DUA8008530210009,DUA853,"H","Gare du Nord Surface - Saint-Leu la Forêt","",2,,7B4339,FFFFFF
DUA8008530210005,DUA853,"H","Gare du Nord Surface - Sarcelles Saint-Brice","",2,,7B4339,FFFFFF
DUA8008530212033,DUA853,"H","Gare du Nord Surface - Valmondois","",2,,7B4339,FFFFFF
DUA8008530210001,DUA853,"H","Gare du Nord Surface - Valmondois","",2,,7B4339,FFFFFF
DUA8008530210019,DUA853,"H","Persan Beaumont - Creil","",2,,7B4339,FFFFFF
DUA8008530210017,DUA853,"H","Pontoise - Creil","",2,,7B4339,FFFFFF
DUA8008530212003,DUA853,"H","Pontoise - Persan Beaumont","",2,,7B4339,FFFFFF
DUA8008530212045,DUA853,"H","Saint-Denis - Ermont Eaubonne","",2,,7B4339,FFFFFF
DUA8008530212047,DUA853,"H","Saint-Denis - Valmondois","",2,,7B4339,FFFFFF
DUA8008530210018,DUA853,"H","Creil - Persan Beaumont","",2,,7B4339,FFFFFF
DUA8008530210020,DUA853,"H","Creil - Pontoise","",2,,7B4339,FFFFFF
DUA8008530212002,DUA853,"H","Ermont Eaubonne - Gare du Nord Surface","",2,,7B4339,FFFFFF
DUA8008530210004,DUA853,"H","Luzarches - Gare du Nord Surface","",2,,7B4339,FFFFFF
DUA8008530210006,DUA853,"H","Montsoult Maffliers - Gare du Nord Surface","",2,,7B4339,FFFFFF
DUA8008530210028,DUA853,"H","Persan Beaumont - Ermont Eaubonne","",2,,7B4339,FFFFFF
DUA8008530210002,DUA853,"H","Persan Beaumont - Gare du Nord Surface (Montsoult Maffliers)","",2,,7B4339,FFFFFF
DUA8008530210010,DUA853,"H","Persan Beaumont - Gare du Nord Surface (Valmondois)","",2,,7B4339,FFFFFF
DUA8008530210022,DUA853,"H","Persan Beaumont - Pontoise","",2,,7B4339,FFFFFF
DUA8008530212004,DUA853,"H","Pontoise - Ermont Eaubonne","",2,,7B4339,FFFFFF
DUA8008530212036,DUA853,"H","Pontoise - Franconville Le Plessis Bouchard","",2,,7B4339,FFFFFF
DUA8008530210014,DUA853,"H","Pontoise - Gare du Nord Surface","",2,,7B4339,FFFFFF
DUA8008530210012,DUA853,"H","Saint-Leu la Forêt - Gare du Nord Surface","",2,,7B4339,FFFFFF
DUA8008530210008,DUA853,"H","Sarcelles Saint-Brice - Gare du Nord Surface","",2,,7B4339,FFFFFF
DUA8008530212024,DUA853,"H","Valmondois - Gare du Nord Surface","",2,,7B4339,FFFFFF
DUA8008530210016,DUA853,"H","Valmondois - Gare du Nord Surface","",2,,7B4339,FFFFFF
DUA8108025614001,DUA802,"Aéroport C","Aéroport Charles de Gaulle 1 (Terminal 1 - Terminal 3) - Aulnay sous Bois (Bus)","",3,,000000,FFFFFF
DUA8108025616007,DUA802,"Aéroport C","Aéroport Charles de Gaulle 1 (Terminal 1 - Terminal 3) - Gare de l'Est (Bus de substitution)","",3,,000000,FFFFFF
DUA8108025616008,DUA802,"Aéroport C","Aulnay sous Bois - Aéroport Charles de Gaulle 1 (Terminal 1 - Terminal 3) (Bus de substitution)","",3,,000000,FFFFFF
DUA8008535226009,DUA853,"K","Dammartin Juilly Saint Mard - Crépy en Valois (Bus de substitution)","",3,,C7B300,FFFFFF
DUA8008535226011,DUA853,"K","Gare du Nord Grandes Lignes - Crépy en Valois (Bus de Substitution)","",3,,C7B300,FFFFFF
DUA8008535226001,DUA853,"K","Nanteuil le Haudouin - Crépy en Valois (Bus de substitution)","",3,,C7B300,FFFFFF
DUA8008535226016,DUA853,"K","Compans - Mitry Claye (Bus de Substitution)","",3,,C7B300,FFFFFF
DUA8008535226012,DUA853,"K","Crépy en Valois - Dammartin Juilly Saint Mard (Bus de Substitution)","",3,,C7B300,FFFFFF
DUA8008535226018,DUA853,"K","Crépy en Valois - Gare du Nord Grandes Lignes (Bus de Substitution)","",3,,C7B300,FFFFFF
DUA8008535226002,DUA853,"K","Crépy en Valois - Nanteuil le Haudouin (Bus de substitution)","",3,,C7B300,FFFFFF
DUA8008505116049,DUA850,"P","Bondy - Tournan (Bus de substitution)","",3,,F0B600,FFFFFF
DUA8008505116003,DUA850,"P","Chelles Gournay - Meaux (Bus de substitution)","",3,,F0B600,FFFFFF
DUA8008505114001,DUA850,"P","Coulommiers - La Ferté Gaucher Centre (Bus)","",3,,F0B600,FFFFFF
DUA8008505114005,DUA850,"P","Esbly - Crécy la Chapelle (Bus)","",3,,F0B600,FFFFFF
